fastq	bam	bed	qc	genomics_id	ngs_id	reference_genome_source_value	sequencing_device_source_value	read_type_source_value	read_length	seq_type_source_value	assay_id
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484803_Donor1_TCA4hrs_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X1
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484802_Donor1_TCA4hrs_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X2
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484801_Donor1_TCA2hrs_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X3
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484800_Donor1_TCA2hrs_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X4
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484799_Donor1_TCA1hrs_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X5
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484798_Donor1_TCA1hrs_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X6
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484797_Donor1_TCA0hrs_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X7
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484796_Donor1_TCA0hrs_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X8
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484795_Donor1_Day39_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X9
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484794_Donor1_Day38_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X10
