assay_occurrence_id,specimen_source_value,assay_start_date,assay_source_value,assay_type_source_value,specimen_id
AO1,GSM1484783,4hrs,ATAC,Sequencing,S1
AO2,GSM1484784,4hrs,ATAC,Sequencing,S2
AO3,GSM1484785,Day1,ATAC,Sequencing,S3
AO4,GSM1484786,Day1,ATAC,Sequencing,S4
AO5,GSM1484787,Day2,ATAC,Sequencing,S5
AO6,GSM1484788,Day2,ATAC,Sequencing,S6
AO7,GSM1484789,Day224,ATAC,Sequencing,S7
AO8,GSM1484790,Day224,ATAC,Sequencing,S8
AO9,GSM1484791,Day37,ATAC,Sequencing,S9
AO10,GSM1484792,Day37,ATAC,Sequencing,S10
AO11,GSM1484793,Day38,ATAC,Sequencing,S11
AO12,GSM1484794,Day38,ATAC,Sequencing,S12
AO13,GSM1484795,Day39,ATAC,Sequencing,S13
AO14,GSM1484796,0hrs,ATAC,Sequencing,S14
AO15,GSM1484797,0hrs,ATAC,Sequencing,S15
AO16,GSM1484798,1hrs,ATAC,Sequencing,S16
AO17,GSM1484799,1hrs,ATAC,Sequencing,S17
AO18,GSM1484800,2hrs,ATAC,Sequencing,S18
AO19,GSM1484801,2hrs,ATAC,Sequencing,S19
AO20,GSM1484802,4hrs,ATAC,Sequencing,S20
AO21,GSM1484803,4hrs,ATAC,Sequencing,S21
AO22,GSM1484804,Day224,ATAC,Sequencing,S22
AO23,GSM1484805,Day224,ATAC,Sequencing,S23
AO24,GSM1484806,Day38,ATAC,Sequencing,S24
AO25,GSM1484807,NA,ATAC,Sequencing,S25
AO26,GSM1484808,NA,ATAC,Sequencing,S26
AO27,GSM1484809,NA,ATAC,Sequencing,S27
AO28,GSM1484810,NA,ATAC,Sequencing,S28
AO29,GSM1484811,NA,ATAC,Sequencing,S29
AO30,GSM1484812,NA,ATAC,Sequencing,S30
AO31,GSM1484813,NA,ATAC,Sequencing,S31
AO32,GSM1484814,Day224,ATAC,Sequencing,S32
AO33,GSM1484815,Day224,ATAC,Sequencing,S33
AO34,GSM1484816,Day37,ATAC,Sequencing,S34
AO35,GSM1484817,NA,ATAC,Sequencing,S35
AO36,GSM1484818,NA,ATAC,Sequencing,S36
AO37,GSM1484819,NA,ATAC,Sequencing,S37
AO38,GSM1484820,NA,ATAC,Sequencing,S38
AO39,GSM1484821,Day37,ATAC,Sequencing,S39
AO40,GSM1484822,Day224,ATAC,Sequencing,S40
AO41,GSM1484823,Day224,ATAC,Sequencing,S41
AO42,GSM1484824,Day224,ATAC,Sequencing,S42
AO43,GSM1484825,Day224,ATAC,Sequencing,S43
AO44,GSM1484826,Day107,ATAC,Sequencing,S44
AO45,GSM1484827,Day107,ATAC,Sequencing,S45
AO46,GSM1484828,Day224,ATAC,Sequencing,S46
AO47,GSM1484829,Day224,ATAC,Sequencing,S47
AO48,GSM1484830,Day37,ATAC,Sequencing,S48
AO49,GSM1484831,NA,ATAC,Sequencing,S49
AO50,GSM1484832,NA,ATAC,Sequencing,S50
AO51,GSM1484833,NA,ATAC,Sequencing,S51
AO52,GSM1484834,NA,ATAC,Sequencing,S52
AO53,GSM1484835,Day38,ATAC,Sequencing,S53
AO54,GSM1484836,Day38,ATAC,Sequencing,S54
AO55,GSM1484837,Day38,ATAC,Sequencing,S55
AO56,GSM1484838,Day38,ATAC,Sequencing,S56
AO57,GSM1484839,Day192,ATAC,Sequencing,S57
AO58,GSM1484840,Day192,ATAC,Sequencing,S58
