"column_name","sample_id","portion_id","analyte_id","aliquot_id"
"patient_samples_sample-2_bcr_biospecimen_canonical_reasons_bcr_canonical_reason","2","1","1","1"
"patient_samples_sample-2_bcr_sample_barcode","2","1","1","1"
"patient_samples_sample-2_bcr_sample_uuid","2","1","1","1"
"patient_samples_sample-2_days_to_collection","2","1","1","1"
"patient_samples_sample-2_initial_weight","2","1","1","1"
"patient_samples_sample-2_is_ffpe","2","1","1","1"
"patient_samples_sample-2_oct_embedded","2","1","1","1"
"patient_samples_sample-2_pathology_report_file_name","2","1","1","1"
"patient_samples_sample-2_pathology_report_uuid","2","1","1","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_bcr_aliquot_barcode","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_bcr_aliquot_uuid","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_biospecimen_barcode_bottom","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_center_id","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_concentration","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_day_of_shipment","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_is_derived_from_ffpe","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_month_of_shipment","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_plate_column","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_plate_id","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_plate_row","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_quantity","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_source_center","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_volume","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot-2_year_of_shipment","2","2","2","2"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_bcr_aliquot_barcode","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_bcr_aliquot_uuid","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_biospecimen_barcode_bottom","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_center_id","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_concentration","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_day_of_shipment","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_is_derived_from_ffpe","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_month_of_shipment","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_plate_column","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_plate_id","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_plate_row","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_quantity","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_source_center","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_volume","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_aliquots_aliquot_year_of_shipment","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_analyte_type","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_analyte_type_id","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_bcr_analyte_barcode","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_bcr_analyte_uuid","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_dna_normal_tumor_genotype_match","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_dna_pcr_amplification_successful","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_gel_image_file","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_is_derived_from_ffpe","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte-2_protocols_protocol_experimental_protocol_type","2","2","2","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte_a260_a280_ratio","2","2","1","1"
"patient_samples_sample-2_portions_portion-2_analytes_analyte_aliquots_aliquot-2_additional_studies_additional_study_disease_code","2","2","1","2"
